grams,yardage,yarn_weight_wpi,ratio
50.0,109.0,11,2.18
250.0,1094.0,12,4.376
50.0,71.0,7,1.42
80.0,149.0,8,1.8625
113.0,280.0,11,2.47787610619469
50.0,137.0,9,2.74
25.0,162.0,14,6.48
50.0,137.0,11,2.74
50.0,122.0,11,2.44
50.0,109.0,8,2.18
100.0,120.0,7,1.2
100.0,437.0,14,4.37
100.0,284.0,11,2.84
50.0,251.0,12,5.02
200.0,437.0,11,2.185
100.0,405.0,14,4.05
100.0,437.0,14,4.37
100.0,302.0,11,3.02
100.0,256.0,11,2.56
100.0,437.0,14,4.37
100.0,200.0,8,2.0
50.0,122.0,9,2.44
120.0,350.0,11,2.9166666666666665
50.0,142.0,12,2.84
100.0,246.0,11,2.46
50.0,218.0,12,4.36
100.0,427.0,14,4.27
150.0,459.0,12,3.06
100.0,430.0,14,4.3
142.0,236.0,9,1.6619718309859155
25.0,328.0,14,13.12
50.0,110.0,8,2.2
100.0,349.0,12,3.49
100.0,192.0,7,1.92
50.0,82.0,8,1.64
228.0,344.0,8,1.5087719298245614
115.0,300.0,11,2.608695652173913
50.0,87.0,8,1.74
50.0,120.0,11,2.4
100.0,217.0,8,2.17
50.0,227.0,12,4.54
150.0,623.0,14,4.153333333333333
100.0,492.0,14,4.92
130.0,500.0,14,3.8461538461538463
50.0,142.0,12,2.84
50.0,160.0,12,3.2
100.0,301.0,11,3.01
125.0,202.0,8,1.616
100.0,437.0,14,4.37
50.0,153.0,12,3.06
50.0,126.0,12,2.52
100.0,220.0,8,2.2
50.0,148.0,12,2.96
50.0,63.0,7,1.26
100.0,383.0,14,3.83
100.0,222.0,9,2.22
50.0,110.0,11,2.2
170.0,278.0,8,1.6352941176470588
200.0,831.0,14,4.155
114.0,440.0,14,3.8596491228070176
100.0,284.0,12,2.84
100.0,182.0,8,1.82
50.0,230.0,14,4.6
100.0,320.0,12,3.2
50.0,147.0,9,2.94
100.0,162.0,7,1.62
100.0,145.0,8,1.45
150.0,427.0,12,2.8466666666666667
50.0,120.0,8,2.4
50.0,197.0,14,3.94
50.0,80.0,9,1.6
113.0,230.0,9,2.0353982300884956
200.0,546.0,8,2.73
100.0,340.0,11,3.4
100.0,186.0,7,1.86
50.0,91.0,7,1.82
400.0,875.0,8,2.1875
50.0,170.0,11,3.4
50.0,164.0,7,3.28
50.0,110.0,11,2.2
113.0,430.0,12,3.8053097345132745
100.0,437.0,14,4.37
80.0,400.0,12,5.0
141.0,360.0,11,2.5531914893617023
120.0,433.0,14,3.6083333333333334
150.0,427.0,11,2.8466666666666667
50.0,120.0,9,2.4
50.0,93.0,9,1.86
50.0,137.0,11,2.74
113.0,235.0,8,2.079646017699115
170.0,330.0,8,1.9411764705882353
100.0,197.0,8,1.97
50.0,219.0,14,4.38
150.0,426.0,9,2.84
50.0,191.0,12,3.82
114.0,420.0,14,3.6842105263157894
50.0,91.0,9,1.82
57.0,99.0,8,1.736842105263158
100.0,270.0,12,2.7
95.0,437.0,14,4.6
100.0,206.0,9,2.06
50.0,153.0,8,3.06
50.0,93.0,9,1.86
100.0,130.0,7,1.3
50.0,137.0,12,2.74
400.0,587.0,7,1.4675
56.0,215.0,12,3.8392857142857144
50.0,100.0,11,2.0
50.0,229.0,14,4.58
100.0,210.0,8,2.1
56.0,220.0,12,3.9285714285714284
50.0,100.0,8,2.0
100.0,463.0,14,4.63
25.0,109.0,14,4.36
50.0,186.0,14,3.72
100.0,273.0,11,2.73
50.0,98.0,8,1.96
113.0,120.0,7,1.0619469026548674
114.0,205.0,8,1.7982456140350878
